filename,width,height,class,xmin,ymin,xmax,ymax
toy92.jpg,500,300,toy,119,41,319,275
toy86.jpg,500,300,toy,119,39,322,224
toy51.jpg,500,300,toy,151,61,349,241
toy45.jpg,500,300,toy,173,85,310,222
toy79.jpg,500,300,toy,129,29,319,251
toy78.jpg,500,300,toy,49,2,346,214
toy44.jpg,500,300,toy,22,53,290,285
toy50.jpg,500,300,toy,183,68,334,234
toy87.jpg,500,300,toy,29,66,319,288
toy93.jpg,500,300,toy,261,46,449,278
toy85.jpg,500,300,toy,217,58,363,212
toy91.jpg,500,300,toy,144,41,312,258
toy46.jpg,500,300,toy,244,24,458,253
toy52.jpg,500,300,toy,15,93,273,300
toy53.jpg,500,300,toy,173,78,329,219
toy47.jpg,500,300,toy,78,49,295,278
toy90.jpg,500,300,toy,124,17,300,217
toy84.jpg,500,300,toy,190,95,358,249
toy80.jpg,500,300,toy,15,58,285,283
toy94.jpg,500,300,toy,151,51,383,234
toy43.jpg,500,300,toy,190,68,329,232
toy57.jpg,500,300,toy,188,34,390,263
toy56.jpg,500,300,toy,10,71,288,271
toy42.jpg,500,300,toy,136,80,283,224
toy95.jpg,500,300,toy,149,66,329,239
toy81.jpg,500,300,toy,46,95,297,290
toy97.jpg,500,300,toy,141,7,315,207
toy83.jpg,500,300,toy,85,41,332,256
toy68.jpg,500,300,toy,117,17,327,193
toy54.jpg,500,300,toy,158,22,371,217
toy40.jpg,500,300,toy,117,49,368,253
toy41.jpg,500,300,toy,168,75,339,256
toy55.jpg,500,300,toy,149,17,329,210
toy69.jpg,500,300,toy,163,58,334,210
toy82.jpg,500,300,toy,112,44,315,236
toy96.jpg,500,300,toy,132,12,312,212
toy100.jpg,500,300,toy,166,80,312,229
toy101.jpg,500,300,toy,154,88,346,244
toy103.jpg,500,300,toy,183,71,346,234
toy102.jpg,500,300,toy,134,49,334,227
toy39.jpg,500,300,toy,188,83,336,251
toy70.jpg,500,300,toy,163,97,315,241
toy64.jpg,500,300,toy,115,12,317,214
toy58.jpg,500,300,toy,158,41,358,280
toy59.jpg,500,300,toy,149,53,339,244
toy65.jpg,500,300,toy,22,39,300,273
toy71.jpg,500,300,toy,105,49,300,263
toy98.jpg,500,300,toy,97,7,324,195
toy67.jpg,500,300,toy,183,44,373,227
toy73.jpg,500,300,toy,78,51,293,280
toy72.jpg,500,300,toy,36,78,285,293
toy66.jpg,500,300,toy,49,2,319,219
toy99.jpg,500,300,toy,66,58,278,273
toy89.jpg,500,300,toy,175,41,351,263
toy62.jpg,500,300,toy,102,41,302,251
toy76.jpg,500,300,toy,178,88,341,251
toy77.jpg,500,300,toy,149,41,346,241
toy63.jpg,500,300,toy,149,105,317,263
toy88.jpg,500,300,toy,158,29,358,214
toy49.jpg,500,300,toy,180,95,349,241
toy75.jpg,500,300,toy,7,83,246,297
toy61.jpg,500,300,toy,5,44,256,297
toy60.jpg,500,300,toy,93,10,310,263
toy74.jpg,500,300,toy,173,66,332,217
toy48.jpg,500,300,toy,173,100,322,234
